Dispositivo;Grupo de dispositivo;Data de início;Duração da condução;Data de parada;Duração da parada;Origem;Destino;Tempo parado com motor ligado;Velocidade máxima;Horas do motor no início da viagem;Horas do motor no final da viagem
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:05:49;16/02/2026;0,003217593;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:04:38;7;07:27:32;07:37:59
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:00:34;16/02/2026;0,009143519;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:13:10;7;07:37:59;07:51:43
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:00:24;16/02/2026;0,014895833;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:21:27;2;07:51:43;08:13:34
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:01:52;16/02/2026;0,122574456;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:00;5;08:13:34;08:12:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:14:56;16/02/2026;0,013372986;Estrada Sem Nome - Jacareí, SP, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:05;16;08:12:00;08:30:00
UGM5A66;AMBEV, Vehicle, Diesel;17/02/2026;00:04:07;17/02/2026;0,005392917;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:06;28;08:30:00;08:36:00
UGM5A66;AMBEV, Vehicle, Diesel;17/02/2026;00:04:52;17/02/2026;0,003356481;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:04:50;15;08:36:00;08:45:42
UGM5A66;AMBEV, Vehicle, Diesel;17/02/2026;00:05:51;17/02/2026;0,024506968;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:18;18;08:45:42;08:48:00
UGM5A66;AMBEV, Vehicle, Diesel;17/02/2026;00:06:38;17/02/2026;0,001039074;Estrada Sem Nome - Jacareí, SP, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:00;0;08:48:00;08:54:00
UGM5A66;AMBEV, Vehicle, Diesel;17/02/2026;00:08:14;17/02/2026;0,004014525;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:06;11;08:54:00;09:00:00
UGM5A66;AMBEV, Vehicle, Diesel;17/02/2026;00:03:55;17/02/2026;0,008842593;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:12:44;22;09:00:00;09:16:39
UGM5A66;AMBEV, Vehicle, Diesel;17/02/2026;00:04:08;17/02/2026;0,001757049;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:02:18;20;09:16:39;09:24:00
UGM5A66;AMBEV, Vehicle, Diesel;17/02/2026;00:02:24;17/02/2026;0,030967188;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:08;5;09:24:00;09:30:00
