Dispositivo;Grupo de dispositivo;Data;Data de extinção do defeito;Usuário que extinguiu o defeito;Descrição;Modo de falha;Fonte;Controlador;Código
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,43203;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,43203;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,47673;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,47673;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,51367;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,51367;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,5422;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,54221;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,55459;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,5546;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
